武将ID,武将,胜率,出场排名,禁用排名,出场得分,禁用得分,偏好得分,胜率系数,原始推荐指数,推荐分,评级,推荐排序,状态,异常原因
71,陈胜,45.87%,134,27,0.16352201,0.83647799,0.46917843,0.44522076,0.09581692,16,D,97,有效,
73,乐毅,56.75%,24,144,0.85534591,0.10062893,0.92876864,0.70432937,0.37123525,72,A,27,有效,
74,春申君,52.99%,68,2,0.57861635,0.99371069,0.99225505,0.62057747,0.32629712,63,A,42,有效,
75,范雎,40.74%,101,149,0.37106918,0.06918239,0.51404217,0.32453674,0.06796474,10,D,125,有效,
76,张仪,39.86%,74,68,0.54088050,0.57861635,0.81575096,0.30555143,0.09935259,17,D,112,有效,
77,苏秦,43.53%,41,118,0.74842767,0.26415094,0.90423638,0.38841015,0.15288371,27,C,76,有效,
78,平原君,46.87%,114,143,0.28930818,0.10691824,0.45451129,0.47003595,0.10013150,17,D,93,有效,
79,孟姚,43.51%,78,103,0.51572327,0.35849057,0.72238044,0.38793516,0.12193102,21,C,85,有效,
80,廉颇,53.03%,31,152,0.81132075,0.05031447,0.87041652,0.62151886,0.28688184,55,B,51,有效,
81,蔺相如,54.05%,63,16,0.61006289,0.90566038,0.99962027,0.64519860,0.34859742,67,A,34,有效,
82,信陵君,50.42%,47,106,0.71069182,0.33962264,0.89906254,0.55848111,0.25316358,48,B,54,有效,
83,田单,38.99%,135,107,0.15723270,0.33333333,0.38008386,0.28740927,0.04259253,5,D,137,有效,
84,宋玉,40.16%,54,85,0.66666667,0.47169811,0.90628931,0.31195399,0.11354058,20,C,108,有效,
85,西门豹,43.69%,144,59,0.10062893,0.63522013,0.36959377,0.39221763,0.06333354,9,D,103,有效,
86,赵威后,53.46%,40,84,0.75471698,0.47798742,0.99587042,0.63157976,0.33624822,65,A,38,有效,
87,燕昭王,46.74%,110,76,0.31446541,0.52830189,0.57085558,0.46679893,0.12455031,22,C,83,有效,
88,郑袖,43.30%,92,71,0.42767296,0.55974843,0.69386891,0.38296078,0.11505874,20,C,89,有效,
89,暴鸢,30.41%,157,3,0.01886792,0.98742138,0.32128871,0.14604047,0.01426872,0,D,157,有效,
