期望排名,OCR排名,OCR名称,OCR胜率,数字模板胜率,数字模板置信度,置信度,异常原因,原图坐标,行截图路径
26,26,夏侯,55.10%,55.10%,1.0000,0.8560,武将名称已由词表校正,"32,3442,518,3496",G:\py_savepoint\test_project\screenshot_data\official_import\2v2胜率排行\026.png
30,30,曹不,54.53%,54.53%,1.0000,0.9646,武将名称已由词表校正,"32,3652,518,3706",G:\py_savepoint\test_project\screenshot_data\official_import\2v2胜率排行\030.png
39,39,荀或,52.92%,52.92%,1.0000,0.8998,武将名称已由词表校正,"32,4126,518,4178",G:\py_savepoint\test_project\screenshot_data\official_import\2v2胜率排行\039.png
76,76,半八子,46.77%,46.77%,1.0000,0.9418,武将名称已由词表校正,"32,6068,518,6120",G:\py_savepoint\test_project\screenshot_data\official_import\2v2胜率排行\076.png
78,78,侯赢,46.56%,46.56%,1.0000,0.8355,武将名称已由词表校正,"32,6172,518,6224",G:\py_savepoint\test_project\screenshot_data\official_import\2v2胜率排行\078.png
92,92,张部,44.26%,44.26%,1.0000,0.7431,武将名称已由词表校正；武将名称置信度低,"32,6908,518,6960",G:\py_savepoint\test_project\screenshot_data\official_import\2v2胜率排行\092.png
136,136,钟离昧,38.81%,38.81%,1.0000,0.9659,武将名称已由词表校正,"32,9224,518,9274",G:\py_savepoint\test_project\screenshot_data\official_import\2v2胜率排行\136.png
139,139,贾谢,38.27%,38.27%,1.0000,0.7821,武将名称已由词表校正,"32,9384,518,9437",G:\py_savepoint\test_project\screenshot_data\official_import\2v2胜率排行\139.png
149,149,魏答,35.18%,35.18%,1.0000,0.9167,武将名称已由词表校正,"32,9904,518,9960",G:\py_savepoint\test_project\screenshot_data\official_import\2v2胜率排行\149.png
